Name,Address,Country,Latitude,Longitude,Address found,Category,Tag,Link
Kennewick Community Services Office,"6909 Crosswind Blvd
Kennewick, WA 99336",US,46.2226341,-119.212863,"6909 Crosswind Blvd, Kennewick, WA 99336, USA",Community Services Offices,"food, cash, medical services ",https://www.dshs.wa.gov/location/dshs-cso-003
Kennewick Child Support Office,"6909 Crosswind Blvd
Kennewick, WA 99336",US,46.2226341,-119.212863,"6909 Crosswind Blvd, Kennewick, WA 99336, USA",Community Services Offices,child support,https://www.dshs.wa.gov/location/dshs-dcs-ken
Home & Community Services - Kennewick Office,"7113 W Okanogan Pl
Kennewick, WA 99336",US,46.2219495,-119.2150892,"7113 W Okanogan Pl, Kennewick, WA 99336, USA",Vocational and Social Services,long-term care services ,https://www.dshs.wa.gov/location/dshs-hcs-kennewick
Vocational Rehabilitation - Kennewick Office,"500 N Morain St Suite 2210
Kennewick, WA 99336-2950",US,46.215233,-119.169834,"500 N Morain St #2210, Kennewick, WA 99336, USA",Disability Services,"Vocational rehabilitation,  Space rentals ",https://www.dshs.wa.gov/location/dshs-dvr-kennewick
Richland Public Library,955 Northgate Dr Richland WA 99352,US,46.2799406,-119.2790062,"955 Northgate Dr, Richland, WA 99352, USA",Libraries,"computer access, charging stations",https://www.myrichlandlibrary.org/
Goodwill Central Offices,"815 N. Kellogg St., Suite A
Kennewick, WA 99336",US,46.2189455,-119.2030873,"815 N Kellogg St a, Kennewick, WA 99336, USA",Vocational and Social Services,"Vocational Rehabilitation, Social and Health ",https://goodwillotc.org/mission-services/
Mid-Columbia Libraries - West Pasco Branch," 7525 Wrigley Dr, Pasco, WA 99301",US,46.2750253,-119.1892984,"7525 Wrigley Dr, Pasco, WA 99301, USA",Libraries,"computer access, charging stations",https://midcolumbialibraries.org/branch/west-pasco
Mid-Columbia Libraries - Kennewick Branch,"1620 S Union St, Kennewick, WA 99338",US,46.1937795,-119.1811471,"1620 S Union St, Kennewick, WA 99338, USA",Libraries,"computer access, charging stations",https://midcolumbialibraries.org/branch/kennewick
Mid-Columbia Libraries - Keewaydin Park Branch,"405 S Dayton St, Kennewick, WA 99336",US,46.2049307,-119.1224209,"405 S Dayton St, Kennewick, WA 99336, USA",Libraries,"computer access, charging stations",https://midcolumbialibraries.org/branch/keewaydin-park
Columbia Basin College,"2600 N. 20th Ave., Pasco, WA 99301",US,46.2511442,-119.1207248,"2600 N 20th Ave, Pasco, WA 99301, USA",Educational Institutions,"computer access, charging stations",https://www.columbiabasin.edu/connect/outreach-opportunities/outreach-recruitment.html
The Arc Tri-Cities,"1455 SE Fowler St
Richland, WA 99352",US,46.2346178,-119.2292752,"1455 Fowler St, Richland, WA 99352, USA",Disability Services,disability resources ,https://arcoftricities.com/about
Prescott Branch - Walla Walla County Rural Library District,"103 S D St, Prescott, WA 99348",US,46.2993545,-118.314973,"103 S D St, Prescott, WA 99348, USA",Libraries,"computer access, charging stations",https://www.wwcrld.org/branches/prescott
Prescott School District,"207 S A St, Prescott, WA 99348",US,46.297613,-118.320413,"207 S A St, Walla Walla, WA 99362, USA",Educational Institutions,"computer access, charging stations, space rentals ",http://prescott.k12.wa.us/
Franklin County Human Resource,"1016 N 4th Ave, Pasco, WA 99301",US,46.2375744,-119.0960253,"1016 N 4th Ave, Pasco, WA 99301, USA",Vocational and Social Services,,https://www.franklincountywa.gov/262/Human-Resources
Columbia Basin College,"2600 N. 20th Ave., Pasco, WA 99301",US,46.2511442,-119.1207248,"2600 N 20th Ave, Pasco, WA 99301, USA",Educational Institutions,"computer access, space rentals ",https://www.columbiabasin.edu/connect/outreach-opportunities/outreach-recruitment.html
Washington State University Tri-Cities,"2710 Crimson Way, Richland, WA 99354",US,46.3308395,-119.2635245,"West Building, 2710 Crimson Way, Richland, WA 99354, USA",Educational Institutions,"computer access, space rentals ",http://tricities.wsu.edu/
Tri-Tech Skills Center,"5929 W Metaline Ave, Kennewick, WA 99336",US,46.2180789,-119.1998719,"5929 W Metaline Ave, Kennewick, WA 99336, USA",Educational Institutions,"computer access, space rentals ",http://tritech.ksd.org/
Kamiakin High School,"600 N Arthur St, Kennewick, WA 99336",US,46.2162669,-119.1914,"600 N Arthur St, Kennewick, WA 99336, USA",Educational Institutions,"computer access, space rentals ",http://kamiakin.ksd.org/
Hanford High School,"450 Hanford St, Richland, WA 99354",US,46.3257037,-119.267592,"450 Hanford St, Richland, WA 99352, USA",Educational Institutions,"computer access, space rentals ",https://hanford.rsd.edu/
Richland High School,"930 Long Ave, Richland, WA 99352",US,46.2789306,-119.2886832,"930 Long Ave, Richland, WA 99352, USA",Educational Institutions,"computer access, space rentals ",http://richland.rsd.edu/
Kennewick High School,"560 W 6th Ave, Kennewick, WA 99336",US,46.2034031,-119.1255683,"560 W 6th Ave, Kennewick, WA 99336, USA",Educational Institutions,,http://kennewick.ksd.org/
Boys & Girls Club - Kennewick Clubhouse,"910 W 7th Pl, Kennewick, WA 99336",US,46.2010091,-119.1305115,"910 W 7th Pl, Kennewick, WA 99336, USA",Community Services Offices,,https://greatclubs.org/
Southridge High School,"3520 Southridge Blvd, Kennewick, WA 99338",US,46.1789454,-119.1950662,"3520 Southridge Blvd, Kennewick, WA 99338, USA",Educational Institutions,"computer access, space rentals ",http://southridge.ksd.org/